,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2020-05-13,53.27,18748.7169,2362241.0
2020-05-14,54.7,19252.0145,2484494.0
2020-05-15,54.41,19149.9472,1836365.0
2020-05-18,58.46,20575.3706,2540847.0
2020-05-19,56.74,19970.0056,1801628.0
2020-05-20,58.38,20547.214,1909499.0
2020-05-21,58.09,20445.1467,1667121.0
2020-05-22,55.32,19470.2275,3883350.0
2020-05-26,60.52,21300.4007,3968955.0
2020-05-27,64.34,22644.8741,2997996.0
2020-05-28,62.46,21983.1961,3164119.0
2020-05-29,60.96,21455.2615,2993900.0
2020-06-01,62.35,21944.4809,1702903.0
2020-06-02,62.81,22106.3809,1822358.0
2020-06-03,65.9,23193.9261,1793185.0
2020-06-04,69.03,24295.5496,2798025.0
2020-06-05,70.7,24883.3168,3560673.0
2020-06-08,71.03,24999.4624,2724588.0
2020-06-09,70.48,24805.8864,2412341.0
2020-06-10,66.14,23278.3956,3186603.0
2020-06-11,61.13,21515.0941,3502653.0
2020-06-12,63.12,22215.4873,2754409.0
2020-06-15,62.65,22050.0678,2747723.0
2020-06-16,64.27,22620.2372,2472608.0
2020-06-17,63.21,22247.1634,1757265.0
2020-06-18,63.4,22314.0351,1608143.0
2020-06-19,65.4,23017.9479,5464253.0
2020-06-22,63.75,22437.2199,2203732.0
2020-06-23,64.69,22768.0589,1486253.0
2020-06-24,61.63,21691.0723,2810936.0
2020-06-25,64.16,22581.522,2585430.0
2020-06-26,60.53,21303.9203,4652990.0
2020-06-29,61.56,21666.4354,2374622.0
2020-06-30,63.55,22366.8286,1983106.0
2020-07-01,62.13,21867.0505,1870454.0
2020-07-02,63.13,22219.0069,2147521.0
2020-07-06,64.48,22694.148,1521064.0
2020-07-07,63.17,22233.0852,2246807.0
2020-07-08,64.95,22859.5675,2207487.0
2020-07-09,61.66,21701.631,1980258.0
2020-07-10,64.12,22567.4437,1435840.0
2020-07-13,64.59,22732.8632,1860350.0
2020-07-14,64.99,22873.6458,1834182.0
2020-07-15,64.64,22750.461,2841954.0
2020-07-16,64.52,22708.2263,1986094.0
2020-07-17,61.71,21719.2288,3480945.0
2020-07-20,60.36,21244.0877,3074333.0
2020-07-21,61.8,21750.9049,2025480.0
2020-07-22,61.4,21610.1223,1919856.0
2020-07-23,62.41,21965.5983,2136848.0
2020-07-24,62.35,21944.4809,1701824.0
2020-07-27,62.85,22147.2873,2145725.0
2020-07-28,63.09,22231.8592,2390323.0
2020-07-29,64.39,22689.9575,1532092.0
2020-07-30,63.5,22376.3364,2007403.0
2020-07-31,63.79,22478.5275,2300584.0
2020-08-03,64.32,22665.2906,1646846.0
2020-08-04,64.91,22873.1968,1356335.0
2020-08-05,66.74,23518.0581,3316331.0
2020-08-06,66.54,23447.5815,1815131.0
2020-08-07,69.57,24515.3027,2290804.0
2020-08-10,69.87,24621.0177,1825765.0
2020-08-11,70.35,24790.1616,2105753.0
2020-08-12,71.18,25082.6397,1628812.0
2020-08-13,70.35,24790.1616,1718119.0
2020-08-14,70.53,24853.5906,874105.0
2020-08-17,69.21,24388.4447,1668728.0
2020-08-18,69.67,24550.541,1511996.0
2020-08-19,70.45,24825.4,2026006.0
2020-08-20,67.93,23937.3942,1877070.0
2020-08-21,67.55,23803.4885,1615863.0
2020-08-24,68.94,24293.3013,1887318.0
2020-08-25,69.07,24339.1111,1456230.0
2020-08-26,67.98,23955.0133,1504272.0
2020-08-27,69.25,24402.5401,1215451.0
2020-08-28,70.11,24705.5897,1257079.0
2020-08-31,68.09,23993.7755,1415543.0
